record,annotator,fs,window_start_s,window_seconds,lead,tolerance_ms,n_ref_p,n_ref_r,n_ref_t,n_ref_qrs_onset,n_ref_qrs_offset,n_pred_p,n_pred_r,n_pred_t,unmapped_rate,p_matched,p_false_positive,p_missing,p_coverage,p_mae_ms,p_median_ae_ms,p_std_ms,p_mae_samples,p_unavailable_rate,r_matched,r_false_positive,r_missing,r_coverage,r_mae_ms,r_median_ae_ms,r_std_ms,r_mae_samples,r_unavailable_rate,t_matched,t_false_positive,t_missing,t_coverage,t_mae_ms,t_median_ae_ms,t_std_ms,t_mae_samples,t_unavailable_rate,q_vs_qrs_onset_approx_matched,q_vs_qrs_onset_approx_coverage,q_vs_qrs_onset_approx_mae_ms,q_vs_qrs_onset_approx_median_ae_ms,s_vs_qrs_offset_approx_matched,s_vs_qrs_offset_approx_coverage,s_vs_qrs_offset_approx_mae_ms,s_vs_qrs_offset_approx_median_ae_ms,overall_mae_ms,overall_median_ae_ms,overall_std_ms
sele0170,q1c,250.0,600.484,31.452,0,150.0,30,30,30,30,30,60,60,60,0.0,30,30,0,1.0,16.533333333333335,16.0,5.536143864540452,4.133333333333334,0.0,30,30,0,1.0,3.8666666666666667,4.0,0.7180219742846004,0.9666666666666667,0.0,30,30,0,1.0,76.26666666666667,76.0,4.493946545694058,19.066666666666666,0.0,30,1.0,29.333333333333332,30.0,30,1.0,10.666666666666666,12.0,32.22222222222222,16.0,31.84049754558834
sele0203,q1c,250.0,600.356,23.092,0,150.0,30,30,30,30,30,30,31,31,0.0,30,0,0,1.0,21.866666666666667,16.0,29.13752830209789,5.466666666666667,0.0,30,1,0,1.0,4.4,4.0,2.1540659228538015,1.1,0.0,29,2,1,0.9666666666666667,126.89655172413794,124.0,10.014970957611776,31.724137931034484,0.0,30,1.0,14.266666666666667,12.0,30,1.0,26.933333333333334,28.0,50.20224719101124,16.0,55.2599942204328
sele0210,q1c,250.0,600.428,25.98,0,150.0,30,30,30,30,30,30,30,30,0.0,30,0,0,1.0,8.0,8.0,6.923069325731824,2.0,0.0,30,0,0,1.0,5.2,4.0,2.1039645117412666,1.3,0.0,30,0,0,1.0,8.933333333333334,8.0,8.74426796377045,2.2333333333333334,0.0,30,1.0,18.933333333333334,20.0,30,1.0,6.666666666666667,6.0,7.377777777777778,8.0,5.330369546867537
sele0211,q1c,250.0,600.02,18.168,0,150.0,30,30,30,30,30,32,32,31,0.0,30,2,0,1.0,7.733333333333333,8.0,5.3065996645686395,1.9333333333333333,0.0,30,2,0,1.0,1.3333333333333333,0.0,2.4729649321321876,0.3333333333333333,0.0,30,1,0,1.0,8.0,6.0,8.820178884555322,2.0,0.0,30,1.0,26.933333333333334,24.0,30,1.0,7.066666666666666,8.0,5.688888888888889,4.0,5.332592541145117
sele0303,q1c,250.0,600.936,26.684,0,150.0,30,30,30,30,30,30,30,30,0.0,30,0,0,1.0,10.266666666666667,4.0,23.742694782933878,2.566666666666667,0.0,30,0,0,1.0,2.1333333333333333,0.0,2.6799668322989043,0.5333333333333333,0.0,30,0,0,1.0,7.6,8.0,6.506065546003121,1.9,0.0,30,1.0,10.533333333333333,12.0,30,1.0,14.266666666666667,16.0,6.666666666666667,4.0,13.15885844424035
sele0405,q1c,250.0,600.368,20.604,0,150.0,30,30,30,30,30,31,31,30,0.0,30,1,0,1.0,15.333333333333334,12.0,12.206373562838209,3.8333333333333335,0.0,30,1,0,1.0,5.333333333333333,4.0,1.8856180831641265,1.3333333333333333,0.0,30,0,0,1.0,8.133333333333333,8.0,8.563488385776752,2.033333333333333,0.0,30,1.0,20.533333333333335,20.0,30,1.0,4.666666666666667,4.0,9.6,8.0,7.770027884977848
sele0406,q1c,250.0,601.132,90.0,0,150.0,30,30,30,30,30,184,184,184,0.030303030303030304,30,154,0,1.0,10.4,12.0,3.2,2.6,0.0,30,154,0,1.0,5.466666666666667,4.0,2.8252826800556123,1.3666666666666667,0.0,30,154,0,1.0,78.4,80.0,15.991108640602613,19.6,0.0,30,1.0,19.6,20.0,30,1.0,10.666666666666666,12.0,31.42222222222222,12.0,34.42253066356323
sele0409,q1c,250.0,600.02,14.988,0,150.0,30,30,30,30,30,32,32,32,0.0,30,2,0,1.0,108.13333333333334,108.0,5.702241274758159,27.033333333333335,0.0,30,2,0,1.0,4.133333333333334,4.0,1.2578641509408806,1.0333333333333334,0.0,30,2,0,1.0,6.666666666666667,8.0,5.094659513211413,1.6666666666666667,0.0,30,1.0,10.133333333333333,10.0,30,1.0,21.2,20.0,39.644444444444446,8.0,48.64618544166327
sele0411,q1c,250.0,600.364,23.324,0,150.0,30,30,30,30,30,30,30,30,0.0,30,0,0,1.0,12.933333333333334,12.0,6.667999866693327,3.2333333333333334,0.0,30,0,0,1.0,3.066666666666667,4.0,2.462158041682585,0.7666666666666667,0.0,30,0,0,1.0,6.133333333333334,4.0,8.026622369755954,1.5333333333333334,0.0,30,1.0,24.133333333333333,24.0,30,1.0,20.0,20.0,7.377777777777778,4.0,6.556723059879121
sele0509,q1c,250.0,600.344,26.712,0,150.0,30,30,30,30,30,30,30,30,0.0,30,0,0,1.0,5.866666666666666,4.0,7.995554320301307,1.4666666666666666,0.0,30,0,0,1.0,0.8,0.0,1.6000000000000003,0.2,0.0,30,0,0,1.0,6.266666666666667,4.0,7.309050705955064,1.5666666666666667,0.0,30,1.0,27.066666666666666,28.0,30,1.0,46.666666666666664,46.0,4.311111111111111,4.0,5.307530173556235
sele0603,q1c,250.0,600.636,33.176,0,150.0,30,30,30,30,30,60,60,60,0.1,30,30,0,1.0,10.933333333333334,8.0,7.973288740120561,2.7333333333333334,0.0,30,30,0,1.0,11.066666666666666,12.0,2.862788073811185,2.7666666666666666,0.0,30,30,0,1.0,6.0,4.0,7.7620157748415375,1.5,0.0,30,1.0,29.066666666666666,28.0,30,1.0,26.666666666666668,24.0,9.333333333333334,8.0,5.399588461684423
sele0604,q1c,250.0,600.288,23.944,0,150.0,30,30,30,30,30,36,36,36,0.1,30,6,0,1.0,8.933333333333334,8.0,11.383418740528796,2.2333333333333334,0.0,30,6,0,1.0,17.2,16.0,15.733898294941262,4.3,0.0,30,6,0,1.0,16.266666666666666,10.0,20.748654574855372,4.066666666666666,0.0,30,1.0,26.266666666666666,28.0,30,1.0,17.2,16.0,14.133333333333333,12.0,12.295618008958405
sele0606,q1c,250.0,600.568,20.632,0,150.0,30,30,30,30,30,32,32,31,0.0,30,2,0,1.0,6.933333333333334,8.0,5.259488779550939,1.7333333333333334,0.0,30,2,0,1.0,6.0,6.0,2.0,1.5,0.0,30,1,0,1.0,6.4,4.0,8.283853102404837,1.6,0.0,30,1.0,18.533333333333335,20.0,30,1.0,18.8,20.0,6.444444444444445,4.0,4.721372472564663
sele0607,q1c,250.0,600.264,21.8,0,150.0,30,30,30,30,30,30,30,30,0.012195121951219513,30,0,0,1.0,18.666666666666668,20.0,8.964126034118193,4.666666666666667,0.0,30,0,0,1.0,3.6,4.0,1.1999999999999997,0.9,0.0,30,0,0,1.0,69.86666666666666,74.0,13.012131092006243,17.466666666666665,0.0,30,1.0,18.0,18.0,30,1.0,3.8666666666666667,4.0,30.711111111111112,20.0,29.801284254371936
sele0609,q1c,250.0,600.656,25.06,0,150.0,30,30,30,30,30,30,30,30,0.0,30,0,0,1.0,4.4,4.0,6.0,1.1,0.0,30,0,0,1.0,1.6,0.0,1.9595917942265426,0.4,0.0,30,0,0,1.0,7.866666666666666,8.0,4.882622246293482,1.9666666666666666,0.0,30,1.0,25.6,26.0,30,1.0,17.333333333333332,16.0,4.622222222222222,4.0,4.615379550487883
sele0612,q1c,250.0,601.12,38.384,0,150.0,30,30,30,30,30,30,30,30,0.0,30,0,0,1.0,9.066666666666666,8.0,6.191032941996745,2.2666666666666666,0.0,30,0,0,1.0,5.733333333333333,4.0,1.982142499642467,1.4333333333333333,0.0,30,0,0,1.0,12.0,12.0,11.611488563774529,3.0,0.0,30,1.0,22.266666666666666,22.0,30,1.0,15.466666666666667,16.0,8.933333333333334,8.0,5.499090833947007
sele0704,q1c,250.0,600.232,24.984,0,150.0,30,30,30,30,30,30,30,30,0.09119496855345911,30,0,0,1.0,12.666666666666666,12.0,5.172577264338886,3.1666666666666665,0.0,30,0,0,1.0,19.066666666666666,16.0,21.90119225572485,4.766666666666667,0.0,30,0,0,1.0,10.266666666666667,8.0,5.334999739664681,2.566666666666667,0.0,30,1.0,40.266666666666666,24.0,30,1.0,77.33333333333333,78.0,14.0,12.0,8.60490816014003
