record,annotator,fs,window_start_s,window_seconds,lead,tolerance_ms,n_ref_p,n_ref_r,n_ref_t,n_ref_qrs_onset,n_ref_qrs_offset,n_pred_p,n_pred_r,n_pred_t,unmapped_rate,p_matched,p_false_positive,p_missing,p_coverage,p_mae_ms,p_median_ae_ms,p_std_ms,p_mae_samples,p_unavailable_rate,r_matched,r_false_positive,r_missing,r_coverage,r_mae_ms,r_median_ae_ms,r_std_ms,r_mae_samples,r_unavailable_rate,t_matched,t_false_positive,t_missing,t_coverage,t_mae_ms,t_median_ae_ms,t_std_ms,t_mae_samples,t_unavailable_rate,q_vs_qrs_onset_approx_matched,q_vs_qrs_onset_approx_coverage,q_vs_qrs_onset_approx_mae_ms,q_vs_qrs_onset_approx_median_ae_ms,s_vs_qrs_offset_approx_matched,s_vs_qrs_offset_approx_coverage,s_vs_qrs_offset_approx_mae_ms,s_vs_qrs_offset_approx_median_ae_ms,overall_mae_ms,overall_median_ae_ms,overall_std_ms
sel308,q1c,250.0,600.6,90.0,0,150.0,36,36,36,36,36,107,107,107,0.0,36,71,0,1.0,29.333333333333332,20.0,42.174241743825895,7.333333333333333,0.0,36,71,0,1.0,16.11111111111111,8.0,21.72868616527782,4.027777777777778,0.0,36,71,0,1.0,17.11111111111111,16.0,10.774913708800584,4.277777777777778,0.0,36,1.0,72.33333333333333,76.0,36,1.0,51.0,56.0,20.85185185185185,16.0,21.499704913915902
sel31,q1c,250.0,600.492,25.78,0,150.0,30,30,30,30,30,31,31,30,0.0,30,1,0,1.0,6.8,4.0,8.0718991294215,1.7,0.0,30,1,0,1.0,6.533333333333333,8.0,1.9275776393067945,1.6333333333333333,0.0,29,1,1,0.9666666666666667,76.27586206896552,72.0,46.58844018231014,19.06896551724138,0.0,30,1.0,7.066666666666666,4.0,30,1.0,30.666666666666668,32.0,29.348314606741575,8.0,42.06338211719283
sel310,q1c,250.0,600.1,18.296,0,150.0,0,30,30,30,30,37,38,38,0.14285714285714285,0,37,0,0.0,,,,,1.0,30,8,0,1.0,3.8666666666666667,4.0,0.7180219742846005,0.9666666666666667,0.0,30,8,0,1.0,6.266666666666667,4.0,5.607930891950157,1.5666666666666667,0.0,30,1.0,26.0,24.0,30,1.0,14.933333333333334,14.0,5.066666666666666,4.0,3.567756842735907
sel32,q1c,250.0,600.792,22.48,0,150.0,30,30,30,30,30,31,31,30,0.0,30,1,0,1.0,6.4,8.0,6.90764471839393,1.6,0.0,30,1,0,1.0,11.733333333333333,12.0,4.373658524495126,2.933333333333333,0.0,30,0,0,1.0,110.53333333333333,110.0,10.24933602185473,27.633333333333333,0.0,30,1.0,20.666666666666668,24.0,30,1.0,11.066666666666666,12.0,42.888888888888886,12.0,48.37640481898046
sel33,q1c,250.0,601.148,50.56,0,150.0,30,30,30,30,30,53,54,54,0.0,30,23,0,1.0,10.4,4.0,15.420621114454356,2.6,0.0,30,24,0,1.0,10.933333333333334,8.0,3.7142368739157647,2.7333333333333334,0.0,29,25,1,0.9666666666666667,91.44827586206897,92.0,82.32206697513288,22.862068965517242,0.0,30,1.0,23.6,24.0,30,1.0,26.8,24.0,36.98876404494382,12.0,39.37617325008526
sel34,q1c,250.0,600.388,29.772,0,150.0,30,30,30,30,30,31,32,32,0.0,30,1,0,1.0,6.8,4.0,6.339996494916662,1.7,0.0,30,2,0,1.0,6.8,8.0,1.8330302779823358,1.7,0.0,30,2,0,1.0,2.933333333333333,2.0,4.493946545694058,0.7333333333333333,0.0,30,1.0,21.466666666666665,20.0,30,1.0,11.733333333333333,12.0,5.511111111111111,4.0,4.405159713196042
sel35,q1c,250.0,603.396,90.0,0,150.0,0,30,0,30,30,91,92,91,0.0,0,91,0,0.0,,,,,1.0,30,62,0,1.0,8.4,8.0,2.3888630489558556,2.1,0.0,0,91,0,0.0,,,,,1.0,30,1.0,12.8,12.0,30,1.0,5.066666666666666,4.0,8.4,8.0,2.3888630489558556
sel36,q1c,250.0,600.568,29.78,0,150.0,1,31,31,31,31,31,32,32,0.12350597609561753,0,31,1,0.0,,,,,0.967741935483871,31,1,0,1.0,9.67741935483871,8.0,2.441404893990258,2.4193548387096775,0.0,30,2,1,0.967741935483871,101.06666666666666,106.0,23.820066237430062,25.266666666666666,0.0,31,1.0,12.387096774193548,12.0,31,1.0,88.25806451612904,88.0,54.622950819672134,12.0,47.85708366445279
sel37,q1c,250.0,601.92,90.0,0,150.0,0,30,0,30,30,84,86,86,0.0,0,84,0,0.0,,,,,1.0,30,56,0,1.0,8.533333333333333,8.0,8.048740412152837,2.1333333333333333,0.0,0,86,0,0.0,,,,,1.0,30,1.0,33.6,24.0,30,1.0,19.866666666666667,20.0,8.533333333333333,8.0,3.537733109712426
sel38,q1c,250.0,600.392,18.276,0,150.0,30,30,30,30,30,32,32,32,0.0,30,2,0,1.0,22.0,22.0,11.523116862299984,5.5,0.0,30,2,0,1.0,18.666666666666668,20.0,6.798692684790379,4.666666666666667,0.0,30,2,0,1.0,6.133333333333334,4.0,6.360992235667499,1.5333333333333334,0.0,30,1.0,80.66666666666667,80.0,30,1.0,78.66666666666667,78.0,15.6,16.0,10.397435581270349
