record,fs,seconds,analysed_seconds,refractory_ms,detected_r_peaks,reference_annotations,tp,fp,fn,sensitivity,positive_predictive_value,f1,mean_abs_timing_error_samples,median_abs_timing_error_samples,timing_jitter_samples,false_positives_per_minute,mean_hr_bpm,signal_quality,rhythm_label,reasons
203,360.0,300.0,300.0,220.0,486,516,476.0,10.0,40.0,0.9224806201550387,0.9794238683127572,0.9500998003992015,1.4222689075630253,1.0,4.252824759016268,2.0,97.11149838703696,0.924999999995375,High preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
205,360.0,300.0,300.0,220.0,455,457,455.0,0.0,2.0,0.9956236323851203,1.0,0.9978070175438596,0.2879120879120879,0.0,0.4671247485768692,0.0,91.00982821505137,0.8749999999781249,Low preliminary rhythm warning,Premature-beat suspicion
207,360.0,300.0,300.0,220.0,378,430,363.0,15.0,67.0,0.8441860465116279,0.9603174603174603,0.8985148514851485,9.994490358126722,2.0,16.661759630975652,3.0,75.61283613133263,0.9367588932747082,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
208,360.0,300.0,300.0,220.0,514,537,475.0,39.0,62.0,0.8845437616387337,0.9241245136186771,0.9039010466222644,2.096842105263158,1.0,4.7058946944599445,7.8,102.74269819193324,0.9351351351310913,Moderate preliminary rhythm warning,Possible tachycardia; Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
209,360.0,300.0,300.0,220.0,490,491,486.0,4.0,5.0,0.9898167006109979,0.9918367346938776,0.9908256880733944,0.9012345679012346,1.0,0.39351549260516616,0.8,98.02418494148655,0.8999999999909999,Normal rhythm candidate,No rule-based warning
210,360.0,300.0,300.0,220.0,448,452,436.0,12.0,16.0,0.9646017699115044,0.9732142857142857,0.9688888888888889,0.46559633027522934,0.0,2.000866479671312,2.4,89.46461333185079,0.9106145251315251,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
212,360.0,300.0,300.0,220.0,463,464,463.0,0.0,1.0,0.9978448275862069,1.0,0.9989212513484358,0.9481641468682506,1.0,2.229178164829004,0.0,92.75297660541504,0.8873239436553065,Normal rhythm candidate,No rule-based warning
213,360.0,300.0,300.0,220.0,551,556,551.0,0.0,5.0,0.9910071942446043,1.0,0.995483288166215,0.49909255898366606,0.0,2.1006112946096107,0.0,110.16933434723741,0.924349881793194,Low preliminary rhythm warning,Possible tachycardia
214,360.0,300.0,300.0,220.0,383,394,379.0,4.0,15.0,0.9619289340101523,0.9895561357702349,0.9755469755469757,2.3773087071240107,1.0,5.626372999255693,0.8,76.54245401163276,0.9238095238048315,High preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
215,360.0,300.0,300.0,220.0,567,577,567.0,0.0,10.0,0.9826689774696707,1.0,0.9912587412587412,1.1728395061728396,1.0,2.4851896847822803,0.0,113.22725841406265,0.865921787701757,Moderate preliminary rhythm warning,Possible tachycardia; Premature-beat suspicion
217,360.0,300.0,300.0,220.0,363,372,362.0,1.0,10.0,0.9731182795698925,0.9972451790633609,0.9850340136054421,19.69060773480663,22.0,8.030412872676598,0.2,72.74486454301875,0.9483870967709304,Low preliminary rhythm warning,Premature-beat suspicion
219,360.0,300.0,300.0,220.0,381,384,381.0,0.0,3.0,0.9921875,1.0,0.996078431372549,0.3648293963254593,0.0,0.8743427855986412,0.0,76.27189518189843,0.9377431906556404,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
220,360.0,300.0,300.0,220.0,354,355,354.0,0.0,1.0,0.9971830985915493,1.0,0.998589562764457,1.192090395480226,1.0,0.7040871908957119,0.0,70.76708896004456,0.8415841584025093,Normal rhythm candidate,No rule-based warning
221,360.0,300.0,300.0,220.0,409,410,407.0,2.0,3.0,0.9926829268292683,0.9951100244498777,0.993894993894994,0.9336609336609336,1.0,0.9451957841099626,0.4,81.8508577213497,0.9157894736764985,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
222,360.0,300.0,300.0,220.0,370,372,367.0,3.0,5.0,0.9865591397849462,0.9918918918918919,0.9892183288409703,0.46321525885558584,0.0,0.4986450469210925,0.6,73.99663921717898,0.8383838383702886,Normal rhythm candidate,No rule-based warning
223,360.0,300.0,300.0,220.0,407,411,406.0,1.0,5.0,0.9878345498783455,0.9975429975429976,0.9926650366748166,1.6108374384236452,2.0,1.1001887113413698,0.2,81.29559760088252,0.9349593495874148,Low preliminary rhythm warning,Premature-beat suspicion
228,360.0,300.0,300.0,220.0,372,384,353.0,19.0,31.0,0.9192708333333334,0.9489247311827957,0.933862433862434,1.2322946175637395,1.0,3.5848803433607657,3.8,74.38665540383741,0.8978940650864167,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
230,360.0,300.0,300.0,220.0,402,431,398.0,4.0,33.0,0.9234338747099768,0.9900497512437811,0.9555822328931574,2.9120603015075375,1.0,3.820435000472925,0.8,80.47346074159411,0.9179487179411859,Normal rhythm candidate,No rule-based warning
231,360.0,300.0,300.0,220.0,294,329,294.0,0.0,35.0,0.8936170212765957,1.0,0.9438202247191011,0.2653061224489796,0.0,1.7956348982634356,0.0,58.82659131469363,0.9075144508586587,Low preliminary rhythm warning,Low heart-rate status; Irregular RR intervals
232,360.0,300.0,300.0,220.0,314,306,295.0,19.0,11.0,0.9640522875816994,0.9394904458598726,0.9516129032258065,1.2847457627118644,1.0,0.47329123843607174,3.8,62.94737626159175,0.8532110091617877,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
233,360.0,300.0,300.0,220.0,517,537,517.0,0.0,20.0,0.962756052141527,1.0,0.9810246679316889,1.632495164410058,1.0,3.9397922684542683,0.0,103.4788179260786,0.9349593495894419,Moderate preliminary rhythm warning,Possible tachycardia; Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
234,360.0,300.0,300.0,220.0,462,463,462.0,0.0,1.0,0.9978401727861771,1.0,0.9989189189189189,0.29004329004329005,0.0,0.45378208420358995,0.0,92.43708400248786,0.9080459770031443,Normal rhythm candidate,No rule-based warning
