detector,record,fs,seconds,analysed_seconds,detected_r_peaks,reference_annotations,tp,fp,fn,sensitivity,positive_predictive_value,f1,mean_abs_timing_error_samples,median_abs_timing_error_samples,timing_jitter_samples,false_positives_per_minute,runtime_ms,runtime_ms_per_minute_ecg
current,234,360.0,60.0,60.0,92,93,92.0,0.0,1.0,0.989247311827957,1.0,0.9945945945945946,0.3804347826086957,0.0,0.48549372682885417,0.0,5.474332996527664,5.474332996527664
hamilton_style,100,360.0,60.0,60.0,74,75,74.0,0.0,1.0,0.9866666666666667,1.0,0.9932885906040269,2.2972972972972974,2.0,0.45706850068345306,0.0,4.278000000340398,4.278000000340398
hamilton_style,101,360.0,60.0,60.0,71,72,71.0,0.0,1.0,0.9861111111111112,1.0,0.993006993006993,1.7605633802816902,2.0,0.42673964528290464,0.0,4.054083001392428,4.054083001392428
hamilton_style,102,360.0,60.0,60.0,73,74,73.0,0.0,1.0,0.9864864864864865,1.0,0.9931972789115647,16.19178082191781,2.0,15.451787620346384,0.0,4.111041998839937,4.111041998839937
hamilton_style,103,360.0,60.0,60.0,70,71,70.0,0.0,1.0,0.9859154929577465,1.0,0.9929078014184397,2.4571428571428573,2.0,0.49815987926179117,0.0,3.901709002093412,3.901709002093412
hamilton_style,104,360.0,60.0,60.0,75,77,74.0,1.0,3.0,0.961038961038961,0.9866666666666667,0.9736842105263157,25.31081081081081,36.0,20.933601419036187,1.0,4.318416002206504,4.318416002206504
hamilton_style,105,360.0,60.0,60.0,83,84,83.0,0.0,1.0,0.9880952380952381,1.0,0.9940119760479043,1.3373493975903614,1.0,0.5212845217538298,0.0,4.037124999740627,4.037124999740627
hamilton_style,106,360.0,60.0,60.0,74,70,68.0,6.0,2.0,0.9714285714285714,0.918918918918919,0.9444444444444445,2.485294117647059,2.0,3.175483234348168,6.0,4.057334001117852,4.057334001117852
hamilton_style,107,360.0,60.0,60.0,71,72,71.0,0.0,1.0,0.9861111111111112,1.0,0.993006993006993,27.535211267605632,37.0,19.37442590865142,0.0,3.9763750028214417,3.9763750028214417
hamilton_style,108,360.0,60.0,60.0,61,63,60.0,1.0,3.0,0.9523809523809523,0.9836065573770492,0.9677419354838709,1.8666666666666667,2.0,1.8749814813900307,1.0,4.158125004323665,4.158125004323665
hamilton_style,109,360.0,60.0,60.0,91,92,91.0,0.0,1.0,0.9891304347826086,1.0,0.994535519125683,6.593406593406593,1.0,9.337362055386047,0.0,4.18925000121817,4.18925000121817
hamilton_style,111,360.0,60.0,60.0,71,70,69.0,2.0,1.0,0.9857142857142858,0.971830985915493,0.9787234042553192,5.27536231884058,1.0,6.898611618291712,2.0,3.993416001321748,3.993416001321748
hamilton_style,112,360.0,60.0,60.0,85,86,85.0,0.0,1.0,0.9883720930232558,1.0,0.9941520467836257,2.152941176470588,2.0,0.3599307891947849,0.0,4.11504200019408,4.11504200019408
hamilton_style,113,360.0,60.0,60.0,114,59,58.0,56.0,1.0,0.9830508474576272,0.5087719298245614,0.6705202312138728,2.4827586206896552,2.0,0.4997026464203254,56.0,4.230582999298349,4.230582999298349
hamilton_style,114,360.0,60.0,60.0,61,55,54.0,7.0,1.0,0.9818181818181818,0.8852459016393442,0.9310344827586207,7.222222222222222,12.0,6.155617952172946,7.0,3.833957998722326,3.833957998722326
hamilton_style,115,360.0,60.0,60.0,63,64,63.0,0.0,1.0,0.984375,1.0,0.9921259842519685,3.1746031746031744,3.0,0.3796273251778222,0.0,3.9052089996403083,3.9052089996403083
hamilton_style,116,360.0,60.0,60.0,79,79,78.0,1.0,1.0,0.9873417721518988,0.9873417721518988,0.9873417721518988,2.717948717948718,3.0,0.4776393848768502,1.0,4.223167001327965,4.223167001327965
hamilton_style,117,360.0,60.0,60.0,69,51,50.0,19.0,1.0,0.9803921568627451,0.7246376811594203,0.8333333333333334,3.96,3.0,4.6303347611160905,19.0,3.7168340058997273,3.7168340058997273
hamilton_style,118,360.0,60.0,60.0,73,74,73.0,0.0,1.0,0.9864864864864865,1.0,0.9931972789115647,16.698630136986303,18.0,3.9851949695583437,0.0,3.976291998696979,3.976291998696979
hamilton_style,119,360.0,60.0,60.0,67,71,64.0,3.0,7.0,0.9014084507042254,0.9552238805970149,0.927536231884058,13.265625,3.0,17.925402878579188,3.0,4.105416999664158,4.105416999664158
hamilton_style,121,360.0,60.0,60.0,60,61,60.0,0.0,1.0,0.9836065573770492,1.0,0.9917355371900827,1.8166666666666667,2.0,0.7851043808875919,0.0,4.011709002952557,4.011709002952557
hamilton_style,122,360.0,60.0,60.0,87,88,87.0,0.0,1.0,0.9886363636363636,1.0,0.9942857142857142,1.8045977011494252,2.0,0.5432782665791481,0.0,3.9693750004516914,3.9693750004516914
hamilton_style,123,360.0,60.0,60.0,50,50,49.0,1.0,1.0,0.98,0.98,0.98,2.9183673469387754,3.0,0.2738042421428314,1.0,3.66287499491591,3.66287499491591
hamilton_style,124,360.0,60.0,60.0,49,50,49.0,0.0,1.0,0.98,1.0,0.98989898989899,1.0,1.0,0.40406101782088427,0.0,3.9545000036014244,3.9545000036014244
hamilton_style,200,360.0,60.0,60.0,91,94,88.0,3.0,6.0,0.9361702127659575,0.967032967032967,0.9513513513513513,3.75,3.0,6.461863648993363,3.0,4.002582994871773,4.002582994871773
hamilton_style,201,360.0,60.0,60.0,90,91,90.0,0.0,1.0,0.989010989010989,1.0,0.994475138121547,2.911111111111111,3.0,1.9700222471639726,0.0,4.1944589975173585,4.1944589975173585
hamilton_style,202,360.0,60.0,60.0,54,54,53.0,1.0,1.0,0.9814814814814815,0.9814814814814815,0.9814814814814815,2.641509433962264,2.0,1.5183697765079776,1.0,3.7979579938109964,3.7979579938109964
hamilton_style,203,360.0,60.0,60.0,102,109,102.0,0.0,7.0,0.9357798165137615,1.0,0.966824644549763,1.3137254901960784,1.0,2.324253217287216,0.0,4.396707998239435,4.396707998239435
hamilton_style,205,360.0,60.0,60.0,89,90,89.0,0.0,1.0,0.9888888888888889,1.0,0.9944134078212291,2.2808988764044944,2.0,0.4494382022471911,0.0,4.497292000451125,4.497292000451125
hamilton_style,207,360.0,60.0,60.0,85,97,80.0,5.0,17.0,0.8247422680412371,0.9411764705882353,0.879120879120879,10.075,3.0,17.116512495248557,5.0,4.843416005314793,4.843416005314793
